musculo_crudo,musculo_normalizado,tipo,articulacion_borrador,movimiento_borrador,contraste_wikipedia,articulacion_principal,movimiento,fuente,url_fuente,fecha_consulta,notas
hip flexors,hip flexors,musculo,cadera,flexión de cadera,Flexion of hip,cadera,flexión de cadera,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Iliopsoas,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
inner thighs,inner thighs,musculo,cadera,aducción de cadera (sinónimo informal de adductors),Adduction of hip,cadera,aducción de cadera (sinónimo informal de adductors),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Adductor_muscles_of_the_hip,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
latissimus dorsi,latissimus dorsi,musculo,hombro,"extensión, aducción y rotación interna de hombro","Adducts, extends and internally rotates the arm when the insertion is moved towards the origin. When observing the muscle action of the origin towards the insertion, the lats are a very powerful rotator of the trunk.",hombro,"extensión, aducción y rotación interna de hombro; rotador del tronco cuando el húmero está fijo","Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Latissimus_dorsi_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
lats,latissimus dorsi,musculo,hombro,"extensión, aducción y rotación interna de hombro","Adducts, extends and internally rotates the arm when the insertion is moved towards the origin. When observing the muscle action of the origin towards the insertion, the lats are a very powerful rotator of the trunk.",hombro,"extensión, aducción y rotación interna de hombro; rotador del tronco cuando el húmero está fijo","Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Latissimus_dorsi_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
levator scapulae,levator scapulae,musculo,escapulotorácica,elevación de la escápula,Elevates scapula and tilts its glenoid cavity inferiorly by downwardly rotating the scapula,escapulotorácica,elevación de la escápula; inclina la cavidad glenoidea inferiormente,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Levator_scapulae_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
lower abs,lower abs,musculo,columna vertebral (lumbar),flexión del tronco (énfasis recto abdominal inferior),Flexion of the lumbar spine,columna vertebral (lumbar),flexión del tronco (énfasis recto abdominal inferior),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Rectus_abdominis_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
lower back,lower back,musculo,columna vertebral (lumbar),extensión de columna,Extends the vertebral column,columna vertebral (lumbar),extensión de columna,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Erector_spinae_muscles,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
obliques,obliques,musculo,columna vertebral (torácico-lumbar),flexión lateral y rotación del tronco,Flexion of the torso and contralateral rotation of torso,columna vertebral (torácico-lumbar),flexión lateral y rotación contralateral del tronco,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/External_abdominal_oblique_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
pectorals,pectorals,musculo,hombro,aducción horizontal y flexión de hombro,"Clavicular head: flexes the humerus Sternocostal head: horizontal and vertical adduction, extension, and internal rotation of the humerus; Depression and abduction of the scapula.",hombro,"flexión de hombro (fascículo clavicular); aducción horizontal, extensión y rotación interna (fascículo esternocostal)","Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Pectoralis_major_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
quadriceps,quadriceps,musculo,rodilla,extensión de rodilla (rectus femoris también flexiona cadera — biarticular),Knee extension; hip flexion (rectus femoris only),rodilla,extensión de rodilla (rectus femoris también flexiona cadera — biarticular),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Quadriceps_femoris_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
quads,quadriceps,musculo,rodilla,extensión de rodilla (rectus femoris también flexiona cadera — biarticular),Knee extension; hip flexion (rectus femoris only),rodilla,extensión de rodilla (rectus femoris también flexiona cadera — biarticular),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Quadriceps_femoris_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
rear deltoids,rear deltoids,musculo,hombro,extensión y rotación externa de hombro,"Shoulder abduction, flexion and extension",hombro,"extensión de hombro y rotación externa (fascículo posterior del deltoides, confirmado específicamente por fascículo)","Wikipedia — List of movements of the human body (tabla por articulación, no la ficha genérica)",https://en.wikipedia.org/wiki/List_of_movements_of_the_human_body,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
rhomboids,rhomboids,musculo,escapulotorácica,retracción (aducción) de la escápula,"Pulls scapulae medially, rotates scapulae, holds scapulae into thorax wall",escapulotorácica,retracción (aducción) de la escápula; también la rota y sostiene contra el tórax,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Rhomboid_muscles,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
rotator cuff,rotator cuff,musculo,hombro,rotación externa/interna y estabilización dinámica,sin campo 'Action' en el infobox,hombro,"rotación externa (infraespinoso + redondo menor), rotación interna (subescapular), abducción (supraespinoso) — ExRx separa supraespinoso bajo 'Hombros' y los otros tres bajo 'Espalda'",ExRx.net Exercise Directory (consultado por el usuario en su navegador),https://exrx.net/Lists/Directory,2026-09-13,
serratus anterior,serratus anterior,musculo,escapulotorácica,protracción y rotación superior de la escápula,"Protracts and stabilizes scapula, assists in upward rotation, assists in inspiration (when shoulder girdle is fixed)",escapulotorácica,protracción y rotación superior de la escápula,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Serratus_anterior_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
shins,shins,musculo,tobillo,dorsiflexión (tibial anterior),Dorsiflexion and inversion of the foot,tobillo,dorsiflexión + inversión del pie (tibial anterior),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Tibialis_anterior_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
shoulders,shoulders,"revisar — región o sistema, no músculo discreto",,,,,,,,,"región compuesta — ver delts/rotator cuff | Se descompone (ExRx) en: Deltoides Anterior/Lateral/Posterior (deltoids, rear deltoids), Supraespinoso (rotator cuff) -- ya presentes como filas propias."
soleus,soleus,musculo,tobillo,"flexión plantar (monoarticular, a diferencia del gastrocnemio)",Plantar flexion,tobillo,"flexión plantar (monoarticular, a diferencia del gastrocnemio)","Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Soleus_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
spine,spine,"revisar — región o sistema, no músculo discreto",,,,,,,,,"conjunto de articulaciones, no un músculo"
sternocleidomastoid,sternocleidomastoid,musculo,cuello (columna cervical),flexión cervical bilateral / rotación y flexión lateral unilateral,"Unilaterally: contralateral cervical rotation, ipsilateral cervical flexion Bilaterally: cervical flexion, elevation of sternum and assists in forced inhalation.",cuello (columna cervical),unilateral: rotación contralateral + flexión ipsilateral; bilateral: flexión cervical y elevación del esternón (inhalación forzada),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Sternocleidomastoid_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
trapezius,trapezius,musculo,escapulotorácica,"superior=elevación, medio=retracción, inferior=depresión","Rotation, retraction, elevation, and depression of scapula",escapulotorácica,"superior=elevación, medio=retracción, inferior=depresión; en conjunto también rota la escápula","Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Trapezius_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
traps,trapezius,musculo,escapulotorácica,"superior=elevación, medio=retracción, inferior=depresión","Rotation, retraction, elevation, and depression of scapula",escapulotorácica,"superior=elevación, medio=retracción, inferior=depresión; en conjunto también rota la escápula","Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Trapezius_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
triceps,triceps,musculo,codo,extensión de codo,"Extends forearm, long head extends, adducts arm, extends shoulder",codo,extensión de codo (principal); cabeza larga también extiende/aduce el hombro,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Triceps_brachii_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
upper back,upper back,musculo,escapulotorácica,retracción/estabilización escapular (región: trapecio + romboides),,escapulotorácica (compuesta),no es categoría propia en ExRx — es la unión de Espalda General + Dorsal Ancho y Redondo Mayor + Trapecio Superior y Elevador de la Escápula + Rombos (ya presentes como filas separadas),ExRx.net Exercise Directory (consultado por el usuario en su navegador),https://exrx.net/Lists/Directory,2026-09-13,
upper chest,upper chest,musculo,hombro,flexión de hombro (fascículo clavicular del pectoral mayor),"Clavicular head: flexes the humerus Sternocostal head: horizontal and vertical adduction, extension, and internal rotation of the humerus; Depression and abduction of the scapula.",hombro,flexión de hombro (fascículo clavicular del pectoral mayor),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Pectoralis_major_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
wrist extensors,wrist extensors,musculo,muñeca,extensión de muñeca,"Extensor at the wrist joint, abducts the hand at the wrist",muñeca,extensión de muñeca; también abducción/desviación radial de la mano,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Extensor_carpi_radialis_longus_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
wrist flexors,wrist flexors,musculo,muñeca,flexión de muñeca,Flexion and abduction at wrist,muñeca,flexión de muñeca; también abducción/desviación radial (variante del lado radial),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Flexor_carpi_radialis_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
wrists,wrists,"revisar — región o sistema, no músculo discreto",,,,,,,,,"articulación, no músculo"
